,Unnamed: 0,name,city,phone-number,date,ssn,id,height,weight,age,drinks,smokes,bp-systolic,bp-diast,tumor_size,temperature,stage,drug,double_lung_infection,fup
0,0,Whitney Johnson,Sewickley,929-428-6732,2012-05-20,135-45-9366,2433445420,7.04,119.37,61,0,1,92,122,5,98,1,Lung_Cure,0,0
1,1,Kayla Myers,Genesee Depot,196-190-1536,1979-03-29,276-82-1124,3366528450,4.11,113.68,60,1,1,32,176,2,99,3,Lung_Cure,0,0
2,2,Susan Barajas,Tushka,900-582-7697,1996-11-05,658-70-7776,3532857054,5.57,72.7,64,1,1,76,161,3,98,2,Lung_Cure,0,0
3,3,Daniel Delacruz,Mount Jackson,158-349-3547,1987-08-23,172-28-8475,1502585609,5.14,48.11,17,0,0,55,169,3,96,2,Lung_Cure,0,0
4,4,Albert Reyes,Funkstown,750-385-7128,2021-05-16,293-13-1816,8376011192,6.33,112.49,28,1,1,21,169,5,97,1,Lung_Cure,0,0
5,5,Angela Glenn,Aniak,900-901-6922,2013-01-14,065-10-2112,2826396762,4.38,109.3,68,1,0,74,142,3,99,1,Lung_Cure,1,0
6,6,Luis Conway,Dollar Bay,450-781-2534,2011-10-10,336-78-8901,8937854788,7.09,61.08,54,1,1,82,176,4,98,1,Lung_Cure,1,0
7,7,Daniel Sharp,Cidra,311-709-1542,1986-10-24,335-97-6524,2970783163,6.9,84.15,44,1,0,96,128,4,95,3,Lung_Cure,0,0
8,8,Sheila Christian,Algonquin,112-852-9089,1979-05-22,337-64-6876,9282984001,6.14,12.04,67,1,0,75,196,6,94,1,Lung_Cure,0,0
9,9,Joy White,Crimora,506-646-7446,2000-03-21,132-24-2057,8919655442,6.38,69.94,39,1,1,72,139,4,95,3,Lung_Cure,0,0
10,10,Kathryn Ayala,Swissvale,694-871-8999,2003-08-09,190-41-2641,4177426342,7.16,79.42,61,1,0,93,199,6,94,2,Lung_Cure,1,0
11,11,Laura Gibson,Uniondale,146-300-7854,1990-11-30,551-78-7742,1857887468,7.67,3.25,10,1,0,69,186,2,98,1,Lung_Cure,0,0
12,12,Cassandra Sanchez,Kingstown,409-624-9132,1978-08-08,266-70-9172,5285402702,6.7,31.01,60,0,1,97,129,3,96,2,Lung_Cure,0,0
13,13,Marcus Douglas,Pleasant Valley,334-195-5524,1972-10-20,831-57-7680,8811911203,7.21,12.35,60,0,1,51,142,6,95,3,Lung_Cure,0,0
14,14,Dale Reynolds,Owls Head,230-142-0512,2005-09-09,881-01-7070,5527729282,6.68,29.13,53,1,1,80,183,4,94,1,Lung_Cure,0,0
15,15,Anthony Martinez,Montbrook,153-360-0150,1983-06-29,608-72-5180,5819064435,6.44,100.61,39,1,1,28,145,5,98,2,Lung_Cure,1,0
16,16,Nathan Rodriguez,Bentonville,113-152-6468,2009-01-19,168-39-0630,1779012357,5.08,61.57,68,1,0,92,126,1,94,2,Lung_Cure,0,0
17,17,Terri Morris,Lakeside Green,678-398-8571,1979-06-30,806-91-9847,4725933621,4.82,60.53,68,1,0,22,178,2,99,2,Lung_Cure,1,0
18,18,Devin Alvarez,New Llano,433-089-6975,1982-08-05,679-40-1552,6532631067,5.96,79.45,16,0,1,77,187,2,98,1,Lung_Cure,1,0
19,19,Martin Lewis,Meadowbrook Terrace,422-674-2686,1986-09-11,842-88-5428,9221773212,4.47,115.4,25,1,1,50,121,2,94,1,Lung_Cure,1,0
20,20,Nathan Lopez,Solen,351-199-4882,2016-03-07,482-65-7978,5452621067,6.77,94.0,11,0,0,43,118,4,94,3,Lung_Cure,0,0
21,21,Tina Matthews,Herring,436-561-1527,1990-09-21,897-58-0958,2685784564,5.18,50.33,23,0,0,81,196,3,98,3,Lung_Cure,0,0
22,22,Richard Roberts,Gholson,845-430-7367,1979-01-21,862-27-6700,126508369,6.22,102.05,43,1,1,21,181,6,94,2,Lung_Cure,1,0
23,23,Marie Jones,Warm Mineral Springs,826-980-9225,1996-10-26,384-73-7113,9843947595,7.6,103.92,40,0,1,27,137,2,98,2,Lung_Cure,1,0
24,24,Jared Munoz,Hazel Hurst,188-177-7619,1997-05-17,044-48-3786,167050514,6.78,99.59,28,0,1,24,174,1,94,2,Lung_Cure,1,0
25,25,Mr. Brian Ruiz,Queen,690-283-5337,2013-05-17,222-45-3118,7176857350,7.28,38.42,29,0,0,77,144,3,98,2,Lung_Cure,1,0
